"GrLivArea","OverallQual","TotRmsAbvGrd","BedroomAbvGr","KitchenAbvGr","SalePrice"
"1710","7","8","3","1","208500"
"1262","6","6","3","1","181500"
"1786","7","6","3","1","223500"
"1717","7","7","3","1","140000"
"2198","8","9","4","1","250000"
"1362","5","5","1","1","143000"
"1694","8","7","3","1","307000"
"2090","7","7","3","1","200000"
"1774","7","8","2","2","129900"
"1077","5","5","2","2","118000"
"1040","5","5","3","1","129500"
"2324","9","11","4","1","345000"
"912","5","4","2","1","144000"
"1494","7","7","3","1","279500"
"1253","6","5","2","1","157000"
"854","7","5","2","1","132000"
"1004","6","5","2","1","149000"
"1296","4","6","2","2","90000"
"1114","5","6","3","1","159000"
"1339","5","6","3","1","139000"
"2376","8","9","4","1","325300"
"1108","7","6","3","1","139400"
"1795","8","7","3","1","230000"
"1060","5","6","3","1","129900"
"1060","5","6","3","1","154000"
"1600","8","7","3","1","256300"
"900","5","5","3","1","134800"
"1704","8","7","3","1","306000"
"1600","5","6","2","1","207500"
"520","4","4","1","1","68500"
"1317","4","6","3","1","40000"
"1228","5","6","3","1","149350"
"1234","8","7","3","1","179900"
"1700","5","6","4","1","165500"
"1561","9","6","2","1","277500"
"2452","8","9","4","1","309000"
"1097","5","6","3","1","145000"
"1297","5","5","3","1","153000"
"1057","5","5","3","1","109000"
"1152","4","6","2","2","82000"
"1324","6","6","3","1","160000"
"1328","5","5","2","1","170000"
"884","5","5","2","1","144000"
"938","5","5","3","1","130250"
"1150","5","6","3","1","141000"
"1752","9","6","2","1","319900"
"2149","7","6","1","1","239686"
"1656","8","7","3","1","249700"
"1452","4","8","2","3","113000"
"955","5","6","3","1","127000"
"1470","6","6","3","1","177000"
"1176","6","6","3","1","114500"
"816","5","5","2","1","110000"
"1842","9","5","0","1","385000"
"1360","5","6","3","1","130000"
"1425","6","7","3","1","180500"
"1739","8","7","3","1","172500"
"1720","7","7","3","1","196500"
"2945","10","10","3","1","438780"
"780","5","4","2","1","124900"
"1158","6","5","3","1","158000"
"1111","5","6","3","1","101000"
"1370","8","6","2","1","202500"
"1710","7","9","3","1","140000"
"2034","7","8","3","1","219500"
"2473","8","9","4","1","317000"
"2207","7","7","3","1","180000"
"1479","7","7","3","1","226000"
"747","4","4","2","1","80000"
"2287","7","7","3","1","225000"
"2223","7","8","3","1","244000"
"845","4","4","2","1","129500"
"1718","7","7","3","1","185000"
"1086","5","6","3","1","144900"
"1605","3","8","3","2","107400"
"988","4","5","2","1","91000"
"952","4","4","2","1","135750"
"1285","5","6","2","1","127000"
"1768","4","8","4","2","136500"
"1230","5","5","2","1","110000"
"2142","6","8","4","1","193500"
"1337","6","5","2","1","153500"
"1563","8","6","3","1","245000"
"1065","5","6","3","1","126500"
"1474","7","7","3","1","168500"
"2417","8","9","4","1","260000"
"1560","6","6","3","1","174000"
"1224","6","4","2","1","164500"
"1526","3","6","2","1","85000"
"990","4","5","3","1","123600"
"1040","4","4","2","1","109900"
"1235","5","6","2","1","98600"
"964","5","5","2","1","163500"
"2291","6","9","4","2","133900"
"1786","6","7","3","1","204750"
"1470","6","6","3","1","185000"
"1588","7","6","3","1","214000"
"960","4","6","3","1","94750"
"835","5","5","2","1","83000"
"1225","4","6","3","1","128950"
"1610","6","6","3","1","205000"
"1732","6","7","3","1","178000"
"1535","5","8","4","2","118964"
"1226","7","6","3","1","198900"
"1818","7","7","4","1","169500"
"1992","8","9","3","1","250000"
"1047","4","6","2","1","100000"
"789","5","5","2","1","115000"
"1517","5","7","3","1","115000"
"1844","6","7","3","1","190000"
"1855","6","7","4","1","136900"
"1430","7","7","3","1","180000"
"2696","7","10","4","1","383970"
"2259","6","7","3","1","217000"
"2320","6","9","3","1","259500"
"1458","6","5","2","1","176000"
"1092","5","6","3","1","139000"
"1125","5","5","2","1","155000"
"3222","7","11","5","1","320000"
"1456","6","8","3","1","163990"
"988","6","4","1","1","180000"
"1123","4","4","3","1","100000"
"1080","6","5","3","1","136000"
"1199","6","5","2","1","153900"
"1586","6","7","3","1","181000"
"754","6","5","2","1","84500"
"958","6","5","2","1","128000"
"840","5","5","3","1","87000"
"1348","6","6","3","1","155000"
"1053","5","6","3","1","150000"
"2157","7","8","4","1","226000"
"2054","6","7","3","1","244000"
"1327","5","7","3","1","150750"
"1296","8","6","2","1","220000"
"1721","5","7","3","1","180000"
"1682","7","7","3","1","174000"
"1214","5","5","3","1","143000"
"1959","7","9","5","2","171000"
"1852","8","7","3","1","230000"
"1764","6","7","3","1","231500"
"864","4","5","3","1","115000"
"1734","7","7","3","1","260000"
"1385","5","6","4","1","166000"
"1501","7","6","3","1","204000"
"1728","5","10","6","2","125000"
"1709","6","7","3","1","130000"
"875","5","5","2","1","105000"
"2035","7","8","3","1","222500"
"1080","7","6","3","1","141000"
"1344","5","7","3","1","115000"
"969","5","5","3","1","122000"
"1710","8","6","2","1","372402"
"1993","6","8","4","1","190000"
"1252","6","4","1","1","235000"
"1200","6","7","4","1","125000"
